,x1,x2
E0_499,0.001765788438428701,1.3474478051584449
E0_295,0.018389521858080925,1.2899573226701826
E0_363,0.9537579444291632,1.162022436734894
E0_338,0.01331154389818073,1.2384331551325423
E0_203,0.036686755754108256,0.21556771960323143
E0_519,0.008740222983178277,1.353976147030534
E0_737,0.0003181008185166494,0.00034298172222197815
E0_323,0.034866559347170756,1.3206405844140305
E0_179,0.05713280859309389,0.6918213063077473
E0_635,1.0087712974428005,1.276853078737023
E0_430,0.0011326598363804784,0.3458810380402089
E0_683,0.9493381910389932,1.2709519282824686
E0_133,0.27184388903064893,0.9373248913544483
E0_882,0.9607241617536632,1.340704196159668
E0_174,0.06433571289092697,0.25326065019192334
E0_797,0.005633472492662137,0.6631093457000671
E0_454,1.018762738641876,0.6911014064771227
E0_932,0.0041714323220953696,0.6198611617156429
E0_964,0.0005686559063430869,1.3159587893369062
E0_946,0.0005744837504837015,1.3892285211864894
